"организм#2 | биологический организм";"n";"живое целое (существо или растение), которое может функционировать самостоятельно";"инфицированный организм, многоклеточный организм";9;"organism, being -- (a living thing that has (or can develop) the ability to act or function independently)";"LX_Synonym";"ANIMATE"
;;;;;;"LX_Near_Synonym";"PLANT"
"живой#1 | живущий#1";;"обладающий качествами функционирующего организма";"живая клетка, живое дерево, живое существо";33;"alive(predicate) (vs. dead), live -- (possessing life)";"Antonym";"мертвый#1 | дохлый#1_разг | умерший#1 "
"мертвый#1 | дохлый#1_разг | умерший#1 | ";"n";"такой, в котором нет функций живого";"мертвое тело";12;"dead -- (no longer having or seeming to have or expecting to have life)";"Presupposition";"живой#1 | живущий#1"
"живое#1";"n";"функционирующий организм (человек или животное)";"живое не могло возникнуть из неживого";5;"life -- (the course of existence of an individual; the actions and events that occur in living)";"XPOS_Near_Synonym";"живой#1 | живущий#1"
"органический#4 ";;"относящийся к живым организмам";"органический мир, органическая жизнь";1;"organic -- (being or relating to or derived from or having properties characteristic of living organisms)";"Near_Synonym";"живой#1 | живущий#1"
"клетка#2 | живая клетка";"n";"элементарная составляющая живых организмов, которая существует независимо в простейших, образует колонии простейших или ткани организмов в многоклеточных организмах";"живая клетка, зародышевая клетка, клетки головного мозга, колония клеток, нервные клетки, стволовые клетки, раковые клетки";24;"cell -- ((biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals)";"Holonym";"организм#2 | биологический организм"
"мембрана#3 | клеточная мембрана ";"n";"двойная цепочка липидов, ограничивающая цитоплазму клетки ";"рецепторы клеточной мембраны, то";0,5;"cell membrane, cytomembrane, plasma membrane -- (a thin membrane (a double layer of lipids) enclosing the cytoplasm of a cell; proteins in the membrane control passage of ions (like sodium or potassium or calcium) in and out of the cell)";"Holonym";"клетка#2 | живая клетка"
"цитоплазма#1_книжн";"n";"вязкое бесцветное содержимое живой клетки за исключением ядра";;;"cytoplasm, cytol -- (the protoplasm of a cell excluding the nucleus; is full of proteins that control cell metabolism)";"Holonym";"протоплазма#1"
"ядро#7 | клеточное ядро";"n";"часть внутреннего содержимого живой клетки, содержащая ДНК и РНК и обеспечивающая размножение";;0,2;"nucleus, cell nucleus, karyon -- (a part of the cell containing DNA and RNA and responsible for growth and reproduction)";"Holonym";"протоплазма#1"
"протоплазма#1";"n";"цитоплазма и ядро живой клетки";;0,3;"protoplasm, living substance -- (the substance of a living cell (including cytoplasm and nucleus))";"Holonym";"клетка#2 | живая клетка"
"клеточный#1";"a";"относящийся к клетке";"клеточное дыхание";2;"cellular -- (relating to cells";"XPOS_Near_Synonym";"клетка#2"
"внутриклеточный#1";"a";"находящийся внутри клетки";"внутриклеточный споровик";"0,2";"intracellular -- (located or occurring within a cell or cells)";"Hypernym";"клеточный#1"
;;;;;;"Antonym";"внеклеточный#1"
"внеклеточный#1 ";"a";"находящийся в межклеточном пространстве";"внеклеточная жидкость, внеклеточное пространство ";0,2;"extracellular (vs. intracellular) -- (located or occurring outside a cell or cells)";"Hypernym";"клеточный#1"
"клеточный#2";"a";"состоящий из клеток";"клеточное окружение, клеточный организм";0,3;;"XPOS_Meronym";"клетка#2 | живая клетка"
"одноклеточный#1 | простейший#1";"a";"состоящий из одной клетки";"одноклеточный организм";0,1;"single-celled, one-celled -- (having a single cell (and thus not divided into cells))";"Hypernym";"клеточный#2"
"многоклеточный#1";"a";"состоящий из многих клеток";"многоклеточный организм";0,2;"multicellular -- (consisting of many cells)";"Hypernym";"клеточный#2"
"митохондрия#1_книжн";"n";"компонент цитоплазмы, обеспечивающий производство энергии в клетке";"дефект митохондрий, пересадка митохондрий";0,4;"mitochondrion, chondriosome -- (an organelle containing enzymes responsible for producing energy)";"Holonym";"цитоплазма#1_книжн"
"митохондриальный#1_книжн";"a";"относящийся к митохондрии";"митохондриальная ДНК";0,2;;"XPOS_Near_Synonym";"митохондрия#1_книжн"
"ДНК | дезоксирибонуклеиновая кислота";"n";"полимер в клеточном ядре, передающий генетическую информацию";"молекула ДНК, анализ ДНК";11;"deoxyribonucleic acid, desoxyribonucleic acid, DNA -- ((biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information)";"Hypernym";"полимер#1"
"межклеточный#1";"a";"проходящий между клетками";"межклеточный обмен веществ";0,1;;"DER_Involved_Location";"клетка#2 | живая клетка"
