человек#1 (@мн_люди#1 |индивид#1_книжн | индивидуум#1_книжн;n;разумное существо на Земле;образ жизни человека, развитие человека, нормальный человек;100;person, individual, someone, somebody, mortal, soul – (a human being);LX_Synonym;HUMAN
лицо#2_книжн;n;человеческая особь;лицо мужского пола, взрослое лицо;80;;LX_Near_Synonym;HUMAN
мужчина#1 | лицо мужского пола| мужик#1_разг;n;человек, который принадлежит полу, не вынашивающему детей;здоровый мужчина, высокий мужчина, бородатый мужчина;100;male, male person – (a person who belongs to the sex that cannot have babies);Hypernym;человек#1 (@мн_люди#1 | индивид#1_книжн | индивидуум#1_книжн
;;;;;;Antonym;женщина#1 | лицо женского пола| баба#1_разг
женщина#1 | лицо женского пола| баба#1_разг;n;человек, который принадлежит полу, вынашивающему детей;беременная женщина, красивая женщина, обнаженная женщина;100;female, female person – (a person who belongs to the sex that can have babies);Hypernym;человек#1 (@мн_люди#1 | индивид#1_книжн | индивидуум#1_книжн
;;;;;;Antonym;мужчина#1 | лицо мужского пола| мужик#1_разг
"мадам#1_книжн | 
фрау#1_книжн | миссис#1_книжн | пани#1_книжн | сеньора#1_книжн";n;обозначение взрослой женщины в иной культуре ;растрепанная мадам, молодящаяся мадам;10;;Near_Synonym;женщина#1 | лицо женского пола| баба#1_разг
младенец#1 | малыш#1;n;человек в младенчестве;годовалый младенец, грудной младенец;20;baby, babe, infant – (a very young child (birth to 1 year) who has not yet begun to walk or talk);Hypernym;человек#1 (@мн_люди#1 | индивид#1_книжн | индивидуум#1_книжн
ребенок#1 @мн_дети#1 | дитя#1_книжн;n;человек в детском возрасте;здоровый ребенок, мать и ребенок;100;child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling – (a young person of either sex);Hypernym;человек#1 (@мн_люди#1 | индивид#1_книжн | индивидуум#1_книжн
подросток#1 | тинейджер#1 ;n;человек подросткового возраста;дети и подростки, трудный подросток;25;adolescent, stripling, teenager, teen – (a juvenile between the onset of puberty and maturity);Hypernym;человек#1 @мн_люди#1 | индивид#1_книжн | индивидуум#1_книжн
отрок#1_книжн;n;подросток-мальчик;нежный отрок, неразумный отрок;4;;Hypernym;подросток#1 | тинейджер#1
отроковица#1_книжн;n;подросток-девочка;отроки и отроковицы;1;;Hypernym;подросток#1 | тинейджер#1
мужчина#2 | взрослый#1 | мужик#2_разг;n;взрослое лицо мужского пола;взрослый мужчина, молодой мужчина;100;man, adult male – (an adult person who is male as opposed to a woman);Hypernym;мужчина#1 | лицо мужского пола| мужик#1_разг
